x	y	z	time
0	0	0	0
0	0	0	0.02
0	0	0	0.0280001
0	0	0	0.0179999
0	0	0	0.0510001
0	0	0	0.0339999
0	0	0	0.0120001
0	0	0	0.0150001
0	0	0	0.0999999
0	0	0	0.03
0	0	0	0.013
0	0	0	0.0220001
0	0	0	0.0179999
0	0	0	0.0770001
0	0	0	0.0119998
0	0	0	0.03
0	0	0	0.0399201
0	0	0	0.0710001
0	0	0	0.023
0	0	0	0.0149999
0	0	0	0.00800014
0	0	0	0.0249999
0	0	0	0.0960002
0	0	0	0.00999999
0	0	0	0.0339999
0	0	0	0.0250001
0	0	0	0.00499988
0	0	0	0.0680001
0	0	0	0.02
0	0	0	0.0119998
0	0	0	0.0250001
0	0	0	0.066
0	0	0	0.0210001
0	0	0	0.00999999
0	0	0	0.0249999
0	0	0	0.079
0	0	0	0.0220001
0	0	0	0.0780001
0	0	0	0.03
0	0	0	0.0249999
0	0	0	0.00699997
0	0	0	0.0280001
0	0	0	0.052
0	0	0	0.0239999
0	0	0	0.00999999
0	0	0	0.023
0	0	0	0.089
0	0	0	0.013
0	0	0	0.0220001
0	0	0	0.013
0	0	0	0.0869999
0	0	0	0.023
0	0	0	0.052
0	0	0	0.0239999
0	0	0	0.013
0	0	0	0.02
0	0	0	0.013
0	0	0	0.0870001
0	0	0	0.0249999
0	0	0	0.02
0	0	0	0.0650001
0	0	0	0.0150001
0	0	0	0.02
0	0	0	0.0149999
0	0	0	0.00800014
0	0	0	0.0969999
0	0	0	-0
0	0	0	0.0420001
0	0	0	0.03
0	0	0	0.0640001
0	0	0	0.0179999
0	0	0	0.0120001
0	0	0	0.00999999
0	0	0	0.013
0	0	0	0.101
0	0	0	0.0300002
0	0	0	0.0489998
0	0	0	0.0250001
0	0	0	0.00999999
0	0	0	0.0109999
0	0	0	0.023
0	0	0	0.101
0	0	0	0.013
0	0	0	0.017
0	0	0	0.0610001
0	0	0	0.0149999
0	0	0	0.023
0	0	0	0.00999999
0	0	0	0.00800014
0	0	0	0.104
0	0	0	0.0120001
0	0	0	0.071702
0	0	0	0.0150001
0	0	0	0.013
0	0	0	0.023
0	0	0	0.0769999
0	0	0	-0
0	0	0	0.0599999
0	0	0	0.0500002
0	0	0	0.033
0	0	0	0.023
0	0	0	0.0119998
0	0	0	0.02
0	0	0	0.00300002
0	0	0	0.1
0	0	0	0.026
0	0	0	0.0119998
0	0	0	0.062
0	0	0	0.0180001
0	0	0	0.0219998
0	0	0	0.0150001
0	0	0	0.00499988
0	0	0	0.103
0	0	0	0.0279999
0	0	0	0.0550001
0	0	0	0.023
0	0	0	0.02
0	0	0	0.00999999
0	0	0	0.027
0	0	0	0.066
0	0	0	0.05
0	0	0	0.0180001
0	0	0	0.0409999
0	0	0	0.023
0	0	0	0.0170002
0	0	0	0.02
0	0	0	0.0059998
0	0	0	0.095
0	0	0	0.03
0	0	0	0.00500011
0	0	0	0.056
0	0	0	0.0190001
0	0	0	0.0119998
0	0	0	0.0250001
0	0	0	0.073
0	0	0	0.0469999
0	0	0	0.00500011
0	0	0	0.00999999
0	0	0	0.0769999
0	0	0	0.0270002
0	0	0	0.00300002
0	0	0	0.0699999
0	0	0	0.05
0	0	0	0.00999999
0	0	0	0.0599999
0	0	0	0.026
0	0	0	0.02
0	0	0	0.0220001
0	0	0	0.069
0	0	0	0.0150001
0	0	0	0.02
0	0	0	0.02
0	0	0	0.0669999
0	0	0	0.00999999
0	0	0	0.023
0	0	0	0.00999999
0	0	0	0.0870001
0	0	0	0.0239999
0	0	0	0.0279999
0	0	0	0.00500011
0	0	0	0.079
0	0	0	0.0179999
0	0	0	0.0270002
0	0	0	0.0059998
0	0	0	0.0760002
0	0	0	0.0279999
0	0	0	0.00999999
0	0	0	0.079586
0	0	0	0.033
0	0	0	0.027
0	0	0	0.02
0	0	0	0.00500011
0	0	0	0.0699999
0	0	0	0.033
0	0	0	0.00500011
0	0	0	0.0550001
0	0	0	-0
0	0	0	0.0589998
0	0	0	0.0280001
0	0	0	-0
0	0	0	0.101274
0	0	0	-0
0	0	0	-0
0	0	0	0.100007
0	0	0	-0
0	0	0	0.0257189
0	0	0	-0
0	0	0	0.107605
0	0	0	-0
0	0	0	0.00239539
0	0	0	0.0250001
0	0	0	0.105926
0	0	0	-0
0	0	0	0.0500739
0	0	0	-0
0	0	0	-0
0	0	0	0.116594
0	0	0	0.0144057
0	0	0	0.02
0	0	0	-0
0	0	0	-0
0	0	0	0.13
0	0	0	-0
0	0	0	-0
0	0	0	0.102266
0	0	0	-0
0	0	0	0.0287337
0	0	0	-0
0	0	0	0.1046
0	0	0	0.0304003
0	0	0	0.00499988
0	0	0	-0
0	0	0	0.043
0	0	0	-0
0	0	0	0.121593
0	0	0	-0
0	0	0	0.00940728
0	0	0	0.082
0	0	0	-0
0	0	0	0.043
0	0	0	-0
0	0	0	-0
0	0	0	0.132239
0	0	0	-0
0	0	0	0.013761
0	0	0	0.0699999
0	0	0	-0
0	0	0	-0
0	0	0	0.05
0	0	0	-0
0	0	0	0.132936
0	0	0	-0
0	0	0	-0
0	0	0	0.0890644
0	0	0	0.00699997
0	0	0	-0
0	0	0	0.103931
0	0	0	-0
0	0	0	0.0150688
0	0	0	0.02
0	0	0	-0
0	0	0	0.131576
0	0	0	-0
0	0	0	-0
0	0	0	-0
0	0	0	0.133351
0	0	0	-0
0	0	0	-0
0	0	0	0.0597413
0	0	0	0.0179999
0	0	0	-0
0	0	0	0.12226
0	0	0	-0
0	0	0	-0
0	0	0	0.05474
0	0	0	-0
0	0	0	0.111933
0	0	0	-0
0	0	0	-0
0	0	0	0.0210669
0	0	0	0.112274
0	0	0	-0
0	0	0	-0
0	0	0	-0
0	0	0	0.0677257
0	0	0	-0
0	0	0	0.132248
0	0	0	-0
0	0	0	-0
0	0	0	0.0727522
0	0	0	0.00500011
0	0	0	-0
0	0	0	0.122294
0	0	0	-0
0	0	0	0.0257061
0	0	0	-0
0	0	0	0.107596
0	0	0	-0
0	0	0	-0
0	0	0	0.044404
0	0	0	-0
0	0	0	0.122266
0	0	0	-0
0	0	0	-0
0	0	0	-0
0	0	0	0.0987341
0	0	0	-0
0	0	0	0.101264
0	0	0	-0
0	0	0	-0
0	0	0	0.0387361
0	0	0	0.0219998
0	0	0	0.00500011
0	0	0	0.027
0	0	0	0.0840001
0	0	0	0.00300002
0	0	0	0.0209999
0	0	0	0.0109999
0	0	0	0.0170002
0	0	0	0.15
0	0	0	0.0210001
0	0	0	0.00999999
0	0	0	0.02
0	0	0	0.00999999
0	0	0	0.075
0	0	0	0.0179999
0	0	0	0.0150001
0	0	0	0.017
0	0	0	0.0909998
0	0	0	0.075
0	0	0	0.0239999
0	0	0	0.0150001
0	0	0	0.023
0	0	0	0.013
0	0	0	0.00200009
0	0	0	0.089
0	0	0	0.0249999
0	0	0	0.0258372
0	0	0	0.0839999
0	0	0	0.0150001
0	0	0	0.0279999
0	0	0	0.0480001
0	0	0	0.02
0	0	0	0.0119998
0	0	0	0.036
0	0	0	0.00500011
0	0	0	0.0999999
0	0	0	0.00999999
0	0	0	0.0250001
0	0	0	0.0669999
0	0	0	0.0250001
0	0	0	0.00999999
0	0	0	0.026
0	0	0	0.0699999
0	0	0	0.033
0	0	0	0.02
0	0	0	0.00800014
0	0	0	0.046
0	0	0	0.026
0	0	0	0.0079999
0	0	0	0.096
0	0	0	0.0250001
0	0	0	0.02
0	0	0	0.023
0	0	0	0.0639999
0	0	0	0.00999999
0	0	0	0.0250001
0	0	0	0.00999999
0	0	0	0.0150001
0	0	0	0.00499988
0	0	0	0.116
0	0	0	0.0280001
0	0	0	0.053
0	0	0	0.0179999
0	0	0	0.00800014
0	0	0	0.0279999
0	0	0	0.00700021
0	0	0	0.0999999
0	0	0	0.0079999
0	0	0	0.0250001
0	0	0	0.0739999
0	0	0	0.00700021
0	0	0	0.0349998
0	0	0	0.00300002
0	0	0	0.063
0	0	0	0.0190001
0	0	0	0.0369999
0	0	0	0.075
0	0	0	0.0120001
0	0	0	0.027
0	0	0	0.02
0	0	0	0.013
0	0	0	0.0680001
0	0	0	0.0309999
0	0	0	0.027
0	0	0	0.00500011
0	0	0	0.085
0	0	0	0.0149999
0	0	0	0.02
0	0	0	0.013
0	0	0	0.072
0	0	0	0.0250001
0	0	0	0.0249999
0	0	0	0.0740001
0	0	0	0.0119998
0	0	0	0.0180001
0	0	0	0.00999999
0	0	0	0.03
0	0	0	0.00500011
0	0	0	0.118
0	0	0	0.02
0	0	0	0.0525701
0	0	0	0.0179999
0	0	0	0.0250001
0	0	0	0.00999999
0	0	0	0.00999999
0	0	0	0.0809999
0	0	0	0.00800014
0	0	0	0.075
0	0	0	0.0219998
0	0	0	0.013
0	0	0	0.027
0	0	0	0.0740001
0	0	0	0.027
0	0	0	0.033
0	0	0	0.046
0	0	0	0.026
0	0	0	0.0350001
0	0	0	0.0249999
0	0	0	0.00999999
0	0	0	0.0370002
0	0	0	0.0279999
0	0	0	0.00500011
0	0	0	0.0279999
0	0	0	0.103
0	0	0	0.023
0	0	0	0.0200002
0	0	0	0.0519998
0	0	0	0.029
0	0	0	0.00800014
0	0	0	0.02
0	0	0	0.0749998
0	0	0	0.023
0	0	0	0.0280001
0	0	0	0.0509999
0	0	0	-0
0	0	0	0.0250001
0	0	0	0.0250001
0	0	0	0.0179999
0	0	0	0.095
0	0	0	0.0250001
0	0	0	0.02
0	0	0	0.0469999
0	0	0	0.023
0	0	0	0.0309999
0	0	0	0.00999999
0	0	0	0.069
0	0	0	0.0320001
0	0	0	0.0280001
0	0	0	0.056
0	0	0	0.0319998
0	0	0	0.0250001
0	0	0	0.0250001
0	0	0	0.00499988
0	0	0	0.076
0	0	0	0.00699997
0	0	0	0.00999999
0	0	0	0.0870001
0	0	0	0.0309999
0	0	0	0.0250001
0	0	0	0.0220001
0	0	0	0.053
0	0	0	0.0209999
0	0	0	0.0180001
0	0	0	0.027
0	0	0	-0
0	0	0	0.101
0	0	0	0.0180001
0	0	0	0.0220001
0	0	0	0.0509999
0	0	0	0.013
0	0	0	0.02
0	0	0	0.0120001
0	0	0	0.089
0	0	0	0.029
